,brand,model,year,price,color,condition,transmission,fuel_type,mileage
183,Hyundai,Elantra,2008,"$3,000.00",Red,Used,Automatic,Gasoline,"190,000"
184,Honda,Odyssey,2017,"$25,595.00",Other,Used,Automatic,Other,"107,049"
185,Toyota,RAV4,2017,"$21,900.00",Grey,Used,NaN,Gasoline,"33,745"
186,Mazda,Other,2006,"$2,495.00",Grey,Used,Automatic,Gasoline,"287,100"
187,Volkswagen,Jetta,2010,"$3,495.00",Black,Used,Manual,Gasoline,"185,450"
188,Audi,A8,2014,"$25,999.00",Black,Used,NaN,Gasoline,"122,408"
189,Jeep,Wrangler,2016,"$29,999.00",Blue,Used,NaN,Gasoline,"130,000"
190,Nissan,Versa,2014,"$8,595.00",Other,Used,Automatic,Other,"122,179"
191,Chevrolet,Silverado 2500,2019,"$80,000.00",White,Used,Automatic,NaN,"85,000"
192,Toyota,RAV4,2018,"$25,400.00",Black,Used,NaN,Gasoline,"50,137"
193,Other,Other,2012,"$4,995.00",Gold,Used,Automatic,Other,"210,500"
194,Mazda,3,2012,"$2,500.00",White,Used,NaN,NaN,"220,000"
195,Ford,Edge,2017,"$22,498.00",Other,Used,Automatic,Other,"81,718"
196,Hyundai,Santa Fe,2017,"$22,998.00",Other,Used,Automatic,Other,"74,486"
197,Toyota,Venza,2016,"$20,998.00",Other,Used,Automatic,Other,"69,224"
198,Honda,CR-V,2016,"$18,998.00",Other,Used,Automatic,Other,"72,897"
199,Toyota,RAV4,2017,"$19,998.00",Black,Used,Automatic,Other,"93,245"
200,Toyota,Camry,2016,"$16,998.00",Black,Used,Automatic,Other,"93,966"
201,Mazda,CX-3,2018,"$17,498.00",Other,Used,Automatic,Other,"63,156"
202,Nissan,Rogue,2017,"$16,498.00",Other,Used,Automatic,Other,"72,081"
203,Hyundai,Sonata,2018,"$16,399.00",Other,Used,Automatic,Other,"67,231"
204,Infiniti,QX70,2017,"$39,900.00",Black,Used,Automatic,Gasoline,"52,000"
205,Toyota,Corolla,2017,"$16,400.00",Blue,Used,NaN,Gasoline,"45,079"
206,Kia,Forte,2013,"$3,995.00",Silver,Used,Automatic,Gasoline,"221,150"
207,Toyota,Highlander,2015,"$27,400.00",Gold,Used,NaN,Gasoline,"93,005"
208,Toyota,RAV4,2017,"$19,900.00",Grey,Used,NaN,Gasoline,"66,128"
209,Mazda,Mazda3 Sport,2020,$230.00,NaN,Lease Takeover,Automatic,Gasoline,"10,600"
210,Hyundai,Genesis Coupe,2010,"$5,995.00",Grey,Used,Automatic,Gasoline,"245,800"
211,Hyundai,Santa Fe,2014,"$11,595.00",Silver,Used,Automatic,Other,"111,135"
212,Toyota,Corolla,2017,"$14,800.00",Silver,Used,NaN,Gasoline,"61,691"
213,Ram,1500,2013,"$14,995.00",Red,Used,Automatic,Gasoline,"250,900"
214,Ford,F-250,1988,NaN,Red,Used,Manual,Gasoline,"109,000"
215,Ford,Escape,2014,"$9,995.00",White,Used,Automatic,Gasoline,"135,400"
216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
220,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
222,Dodge,Caravan,2012,"$7,000.00",Grey,Used,Automatic,NaN,"137,000"
223,BMW,3-Series,2018,"$39,999.00",Black,Used,Automatic,Gasoline,"69,915"
224,Toyota,Corolla,2016,"$15,998.00",Blue,Used,Automatic,Other,"85,567"
225,BMW,X1,2016,"$18,785.00",Blue,Used,Automatic,Gasoline,"109,101"
226,Toyota,RAV4,2016,"$18,998.00",Red,Used,Automatic,Other,"91,301"
227,Subaru,Outback,2011,"$3,500.00",Black,Used,Automatic,Gasoline,"300,000"
228,Hyundai,Elantra,2008,"$3,000.00",Red,Used,Automatic,Gasoline,"190,000"
229,Honda,Odyssey,2017,"$25,595.00",Other,Used,Automatic,Other,"107,049"
230,Toyota,RAV4,2017,"$21,900.00",Grey,Used,NaN,Gasoline,"33,745"
231,Mazda,Other,2006,"$2,495.00",Grey,Used,Automatic,Gasoline,"287,100"
232,Toyota,Corolla,2017,"$16,900.00",White,Used,NaN,Gasoline,"95,547"
233,Volkswagen,Jetta,2010,"$3,495.00",Black,Used,Manual,Gasoline,"185,450"
234,Audi,A8,2014,"$25,999.00",Black,Used,NaN,Gasoline,"122,408"
